DISTRIBUTOR,DIST_SKU CODE,DIST_SKU NAME,iNova_GL SKU Code,iNova_ID SKU NAME,iNova_GL CATEGORY,iNova_ID SUB CATEGORY,iNova_Finance_Code,iNova_SKU_Status,Short Desc
DMA,LBFFA,BET.FW FOAM F&A LMN 100ML,105450,BETADINE FW FOAM FRESH 100ML,FEMININE,ANGELA FOAM,IT-02789,RE-PIPELINE,FOAM FRESH 100
DMA,LBFGA,BET.FW FOAM GNTL PRO100ML,105449,BETADINE FW FOAM GENTLE 100ML,FEMININE,ANGELA FOAM,IT-02788,RE-PIPELINE,FOAM GENTLE 100
DMA,LBFHA,BET.FEM HYGIENE 60ML(M),105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFHB,(*)BET.HYGIENE 60ML+BSC 15ML,105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFHC,(*)B.HYGIENE60ML+FEMIPLUS,105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFHD,(*)BET.FEM HYGIENE 60ML(TM),105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFHF,(*)BET.FEM HYGIENE 60ML(M,105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFMA,BET. FEM HYGIENE 60ML,105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFMB,(*)BET. FEM HYGIENE 60ML,105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFMM,(*)BET.FEM HYGINE 60ML(M),105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBFMP,(*)BET.FEM HYGIENE 60ML(P,105447,BETADINE FEMININE HYGIENE 60ML,FEMININE,PVPI WASH,IT-00086,ACTIVE,FH 60
DMA,LBOKA,(*)BET.OBAT KUMUR 100 ML(,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOKB,(*)BET.OBAT KUMUR 190 ML(MM),105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
DMA,LBOKC,(*)BOK 100ML+BET.HYGIENE1,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOKD,(*)BETADINE OBAT KUMUR175,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,UBOK175,ACTIVE,BOK 190
DMA,LBOKE,(*)BOK 100 ML+FEMIPLUS 1',105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOKF,(*)BET.OBAT KUMUR 100 ML(,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOKG,(*)BET.OBAT KUMUR 190 ML(,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
DMA,LBOKH,(*)BET.OBAT KUMUR 190ML(M,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
DMA,LBOKI,(*)BOK100ML(MM)+BET.STIK1,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOKM,(*)BET.OBAT KUMUR 100ML(M,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOKN,(*)BET.OBAT KUMUR 190ML(M,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
DMA,LBOKP,(*)BET.OBAT KUMUR 100ML(P,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOKQ,(*)BET.OBAT KUMUR 190ML(P,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
DMA,LBOMA,BET. OBAT KUMUR 100ML,105434,BETADINE OBAT KUMUR 100ML,URT,GARGLE,IT-00026,ACTIVE,BOK 100
DMA,LBOMB,BET. OBAT KUMUR 190ML,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
DMA,LBOMC,(*)BET. OBAT KUMUR 190ML,105435,BETADINE OBAT KUMUR 190ML,URT,GARGLE,IT-00028,ACTIVE,BOK 190
DMA,LBSCB,BET.SABUN CAIR 100ML(M,105444,BETADINE SKIN CLEANSER 100ML,SKIN,SKIN CLEANSER,IT-00074,ACTIVE,BSC 100
DMA,LBSCF,(*)BET.SABUN CAIR 100ML(TM),105444,BETADINE SKIN CLEANSER 100ML,SKIN,SKIN CLEANSER,IT-00074,ACTIVE,BSC 100
DMA,LBSFA,BET.FEMWSH FM FLORAL110ML,105461,BETADINE FW SIRIH FIRMING FLORAL 110ML,FEMININE,HERBALIFE,IT-02802,RE-PIPELINE,SIRIH FLORAL 100
DMA,LBSMB,BET. SKIN CLEANSER 100ML,105444,BETADINE SKIN CLEANSER 100ML,SKIN,SKIN CLEANSER,IT-00074,ACTIVE,BSC 100
DMA,LBSRA,BET.FEMWSH RDNCE BLOS110M,105460,BETADINE FW SIRIH RADIANCE BLOSSOM 110ML,FEMININE,HERBALIFE,IT-02801,ACTIVE,SIRIH BLOSSOM 100
DMA,LBTDA,(*)BETADINE SOL 5 ML,105439,BETADINE SOLUTION 5ML,WOUND,SOLUTIONS,IT-00061,ACTIVE,SOL 5
DMA,LBTDB,(*)BETADINE SOL 15 ML,105440,BETADINE SOLUTION 15ML,WOUND,SOLUTIONS,IT-00062,ACTIVE,SOL 15
DMA,LBTDC,(*)BETADINE SOL 30 ML,105441,BETADINE SOLUTION 30ML,WOUND,SOLUTIONS,IT-00063,ACTIVE,SOL 30
DMA,LBTDD,(*)BETADINE SOL 60 ML,105442,BETADINE SOLUTION 60ML,WOUND,SOLUTIONS,IT-00065,ACTIVE,SOL 60
